
  Multi-Metric Occurrence Comparison Report
  =========================================

──────────────────────────────────────────────────────────────────────────────
  METRIC LEGEND:
    EXACT    = Normalized exact token match (current method)
    PREFIX   = Safe prefix-aware (و,ف,ب,ل,ك,س + exact form)
    ARTICLE  = Definite article variants (with/without ال)
    FAMILY   = Root-family sum (all vocab words sharing same root)
    LEMMA    = Quranic Arabic Corpus lemma count (external reference)
    OLD      = Manually stored occ value (currently in vocabulary)
──────────────────────────────────────────────────────────────────────────────

  Top 200 entries (sorted by old occ descending):

  #  Word                       Old   Exact  P+Ex  Art+Ex Family Lemma  Best
  ──────────────────────────────────────────────────────────────────────────────
   1 لَا                6000   812  1663   812   812  1691 pref
   2 مَا                4580  1010  2169  1010  1306  1266 fami
   3 مِنْ               3220  2763  3309  2763  2767  4016 pref
   4 اللَّهُ            2699  2153  2538  2153  2342  2699 pref
   5 فِي                2470  1185  1250  1185  1185  1701 pref
   6 فِي                2470  1185  1250  1185  1185  1701 pref
   7 عَلَى              1850   258   291   265   277   —  exac
   8 مَنْ               1800  2763  3309  2763  2763  4016 pref
   9 قَالَ              1720   416   529   416   718   155 exac
  10 كَانَ              1660   333   431   333   333   156 exac
  11 إِلَى              1600   165   185   165   165   —  exac
  12 إِنَّ              1593  1603  2448  1603  1603  2260 pref
  13 هُوَ               1360   265   483   265   265   —  exac
  14 الَّذِينَ          1134   811  1000   811   811   —  exac
  15 الَّذِينَ          1134   811  1000   811   811   —  exac
  16 أَنْتُمْ           1100    76   123    76    76   —  exac
  17 لِلَّهِ             985   116   149   116  2342   —  exac
  18 رَبِّ               975   128   149   128   234   975 fami
  19 عَلِمَ              855    60    68    60   240   —  exac
  20 مِنْهَا             573    85    94    85    85   —  exac
  21 آمَنَ               537    12    16    12    36   —  exac
  22 شَيْءٍ              520   190   201   190   190   283 pref
  23 رَسُول              513    52    67    97   131   332 fami
  24 حَتَّىٰ             463   142   142   142   142   —  exac
  25 أَرْض               461     4   163     4     4   461 pref
  26 يَوْمَ              405   217   307   217   217   325 pref
  27 بِمَا               404   296   308   296  1306   —  exac
  28 آيَة                382     2    34     2     2   382 pref
  29 آيَةً               382     2    34     2     2   382 pref
  30 آيَاتِ              382     0    65     0     2   —  pref
  31 رَأَىٰ              369     2     2     2     7   —  exac
  32 قُلْ                332   294   333   294   718   —  exac
  33 الرَّسُولُ          331    45    54    97   131   —  exac
  34 الْعَذَابُ          325    85    92    85    85   —  exac
  35 يَهْدِينِ           316     2     5     2     2   —  exac
  36 الْكِتَابِ          312   162   174   162   164   —  exac
  37 سَمَاء              310     1    10     1     1   310 pref
  38 نَفْسٍ              295    47    54    54    54   295 pref
  39 الْحَقِّ            247   109   185   143   220   —  exac
  40 النَّاسِ            241   182   190   182   182   —  exac
  41 النَّاسِ            240   182   190   182   182   —  exac
